Timestamp,Q1_Marriage_Timeline,Q2_Cost_Realistic,Q3_Biggest_Barrier,Q4_Replace_Shabka,Q5_Reasonable_Shabka,Q6_Willing_To_Do,Q7_Costs_Cause_Delay,Q8_Personally_Affected,Q9_Anxiety,Q10_Delayed_Engagement,Q11_Tradition_Reconsider,Q12_Money_Needed
2026-04-06 00:31:23.798,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",100+ grams regardless of price,"Delay the wedding, Work or move abroad","No, people always find a way","Yes, significantly",A little anxious,No,The 50-50 thing. It should all be on the man,Atleast 1mil
2026-04-06 00:32:39.911,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",20–50 grams,"Take a bank loan, Delay the wedding, Ask family for help, Work or move abroad",Probably yes,Somewhat,I avoid thinking about marriage,I’ve heard cases,"Spending too much money on engagement/wedding party, focusing too much on useless purchases like an absurd amount of towels/bedsheets/China that will barely be used ","Not accounting an apartment, from 2 to 3 million Egp with a steady income of 35-50k after taxes "
2026-04-06 00:33:08.820,2–3 years,It's difficult but possible,Furniture and setup costs,"No, gold is a non-negotiable tradition",100+ grams regardless of price,"Delay the wedding, Ask family for help",Definitely yes,"Not yet, but I expect it will",Not at all,I’ve heard cases,Expensive cups and plates,800k
2026-04-06 00:34:47.159,More than 3 years,It's difficult but possible,Apartment cost,"Yes, but only if both families agree",100+ grams regardless of price,Work or move abroad,Not really,"No, not at all",A little anxious,No,Big weddings ,2M EGP 
2026-04-06 00:37:00.567,2–3 years,It's difficult but possible,Furniture and setup costs,"Yes, but only if both families agree",20–50 grams,"Delay the wedding, Work or move abroad",Probably yes,"Not yet, but I expect it will",Not at all,No,,"Beside the apartment because 70 to 80 percentage of families gives you an apartment for your marriage, 2 millions "
2026-04-06 00:41:33.348,I have no plans yet,It's difficult but possible,Apartment cost,"No, gold is a non-negotiable tradition",100+ grams regardless of price,"Ask family for help, Work or move abroad",Definitely yes,"Not yet, but I expect it will",A little anxious,No,,About 4 million 
2026-04-06 00:44:53.962,Within 1 year,It's difficult but possible,Furniture and setup costs,"No, gold is a non-negotiable tradition",100+ grams regardless of price,Work or move abroad,Definitely yes,Somewhat,A little anxious,"Yes, a close friend or relative",I don’t know ,2 million 
2026-04-06 00:46:33.466,I have no plans yet,"No, it's completely unrealistic",Furniture and setup costs,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Ask family for help, Reduce or eliminate the Shabka, Work or move abroad",Probably yes,"Yes, significantly",Very anxious,I’ve heard cases,,5 to 7 million 
2026-04-06 00:53:04.297,2–3 years,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",1–20 grams,Ask family for help,Probably yes,"No, not at all",Not at all,No,,
2026-04-06 00:56:41.161,Within 1 year,"Yes, it's manageable",Apartment cost,"Yes, but only if both families agree",1–20 grams,Take a bank loan,Definitely yes,Somewhat,Very anxious,No,,
2026-04-06 00:58:17.155,Within 1 year,"No, it's completely unrealistic",Gold (Shabka),"Yes, but only if both families agree",1–20 grams,Work or move abroad,Definitely yes,"Yes, significantly",Very anxious,"Yes, me personally",Gay marriage ,
2026-04-06 01:03:08.187,I have no plans yet,"No, it's completely unrealistic",Furniture and setup costs,"Yes, but only if both families agree",100+ grams regardless of price,Ask family for help,Definitely yes,"Not yet, but I expect it will",Not at all,No,"النيش 
",1M min
2026-04-06 01:03:31.966,I have no plans yet,It's difficult but possible,Apartment cost,"Yes, but only if both families agree",1–20 grams,"Take a bank loan, Ask family for help",Definitely yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,,
2026-04-06 01:05:22.562,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, completely fine with it",20–50 grams,Work or move abroad,Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative",el mahr ghaly gdn and the shabka should be canceled. wasting money on 50 towels and useless stuff for the kitchen is just wrong. why pay so much f farah asln?,at least 1.5 million EGP with these prices
2026-04-06 01:07:30.176,Within 1 year,It's difficult but possible,Gold (Shabka),"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Work or move abroad",Definitely yes,Somewhat,A little anxious,"Yes, me personally",spending too much on the wedding party and wedding hall is stupid. people should just have a small dinner. farah f hotel is waste of money kbeer awy asln.,maybe 600k or 700k if the family helps a bit.
2026-04-06 01:07:49.423,2–3 years,It's difficult but possible,Gold (Shabka),"No, gold is a non-negotiable tradition",1–20 grams,"Take a bank loan, Ask family for help",Definitely yes,"Not yet, but I expect it will",Very anxious,No,,1 million 
2026-04-06 01:07:50.983,2–3 years,"No, it's completely unrealistic",Furniture and setup costs,"Yes, but only if both families agree",1–20 grams,"Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,,
2026-04-06 01:08:21.714,More than 3 years,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",1–20 grams,Work or move abroad,Definitely yes,"Not yet, but I expect it will",A little anxious,No,2ymaa,atleast 3-4million
2026-04-06 01:09:20.516,More than 3 years,"No, it's completely unrealistic",Wedding expenses,"No, gold is a non-negotiable tradition",20–50 grams,"Take a bank loan, Delay the wedding",Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative",excessive mahr demands are treating the daughter like she deserves 2 million egp. honestly why pay so much f shabka asln? we need to be more realistic f el klam da.,maybe 2 million EGP if you want a decent apartment with today's prices.
2026-04-06 01:09:54.351,Within 1 year,"Yes, it's manageable",Gold (Shabka),"Yes, completely fine with it",Skip it entirely (0 grams),Take a bank loan,Definitely yes,"Yes, significantly",Not at all,"Yes, me personally",,
2026-04-06 01:12:42.763,I have no plans yet,"Yes, it's manageable",Furniture and setup costs,"Yes, but only if both families agree",1–20 grams,Ask family for help,Not really,"No, not at all",Not at all,I’ve heard cases,50-50 split is the only way now. why should the man pay for everything? both should share everything f el gawaz. it's already 2024 and life is expensive.,maybe 400k if you buy simple furniture and have a small party.
2026-04-06 01:15:27.415,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",20–50 grams,"Take a bank loan, Work or move abroad",Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative",the costs of 'gihaz' and hundreds of sets of clothes and plates are just too much. families should focus on the basic needs and stop showing off in front of neighbors. el mahr ghaly gdn asln.,honestly at least 1.5M with the apartment and furniture.
2026-04-06 01:17:03.033,I have no plans yet,It's difficult but possible,Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),Work or move abroad,Probably yes,"No, not at all",I avoid thinking about marriage,No,Wedding Ceremonies and their costs,5M EGP
2026-04-06 01:18:37.065,2–3 years,It's difficult but possible,Gold (Shabka),"No, gold is a non-negotiable tradition",1–20 grams,Ask family for help,Definitely yes,"No, not at all",A little anxious,No,,
2026-04-06 01:21:43.354,Within 1 year,"Yes, it's manageable",Gold (Shabka),The Shabka should be eliminated entirely,20–50 grams,Ask family for help,Probably yes,"Not yet, but I expect it will",A little anxious,No,Perhaps gold or the dowry,A lot of money 
2026-04-06 01:29:45.547,2–3 years,"No, it's completely unrealistic",Gold (Shabka),"No, gold is a non-negotiable tradition",1–20 grams,"Ask family for help, Work or move abroad",Definitely yes,Somewhat,Very anxious,I’ve heard cases,,
2026-04-06 01:34:45.286,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,"Ask family for help, Work or move abroad",Definitely yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,النيش ,1.5 million egp 
2026-04-06 01:34:50.504,Within 1 year,It's difficult but possible,Furniture and setup costs,"No, gold is a non-negotiable tradition",20–50 grams,Work or move abroad,Probably yes,"Not yet, but I expect it will",A little anxious,"Yes, a close friend or relative",,
2026-04-06 01:42:49.377,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",Very anxious,I’ve heard cases,that tradition of giving like 3 or 4 different gifts before even 5otooba,atleast like 6 million to have a very easy going life
2026-04-06 01:44:03.671,2–3 years,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,"Take a bank loan, Ask family for help, Work or move abroad",Probably yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,,
2026-04-06 02:13:05.024,2–3 years,It's difficult but possible,Apartment cost,"Yes, but only if both families agree",1–20 grams,"Ask family for help, Work or move abroad",Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative",honestly we need to stop buying so many kitchen things and towels it's just wasting money. like why we need 100 sets of everything.,for a small house and basic stuff i think maybe 500k is the minimum now if someone is starting from zero.
2026-04-06 02:14:55.905,More than 3 years,"No, it's completely unrealistic",Furniture and setup costs,The Shabka should be eliminated entirely,Skip it entirely (0 grams),Work or move abroad,Definitely yes,"Yes, significantly",I avoid thinking about marriage,No,honestly lavish weddings are just a huge mistake. spending 200k on a party for 1 night while we don't have a house is idiotic.,the economic situation made it impossible for any young man to even think about furniture or basic kitchen stuff.
2026-04-06 02:16:50.186,Within 1 year,"Yes, it's manageable",Wedding expenses,"No, gold is a non-negotiable tradition",100+ grams regardless of price,Ask family for help,Probably yes,"Not yet, but I expect it will",Not at all,No,honestly if someone can afford it then it is fine to have a nice wedding. people should not judge others for their choice.,maybe 2 million is more realistic now if you want a high standard life in egypt.
2026-04-06 02:18:43.653,I have no plans yet,"No, it's completely unrealistic",Gold (Shabka),The Shabka should be eliminated entirely,Skip it entirely (0 grams),Reduce or eliminate the Shabka,Definitely yes,"Yes, significantly",Very anxious,"Yes, me personally",honestly most people demand way too much mahr for their daughters. like she is a person not a car to sell for millions.,the gold prices are so crazy now that i don't think anyone can buy shabka anymore without help.
2026-04-06 02:20:39.312,2–3 years,It's difficult but possible,Furniture and setup costs,"Yes, but only if both families agree",1–20 grams,"Take a bank loan, Delay the wedding",Probably yes,Somewhat,A little anxious,No,splitting everything 50-50 between man and woman is better now since everything is very expensive.,the rental prices are crazy and no one can save enough for a flat anymore.
2026-04-06 02:22:41.558,2–3 years,It's difficult but possible,Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Reduce or eliminate the Shabka",Probably yes,Somewhat,A little anxious,No,the demand for gihaz is too much. families ask for 50 towels and 4 washing machines which is crazy.,the economic situation made it hard to buy even the basic bedroom furniture.
2026-04-06 02:24:40.836,More than 3 years,"No, it's completely unrealistic",Furniture and setup costs,The Shabka should be eliminated entirely,Skip it entirely (0 grams),Work or move abroad,Definitely yes,"Yes, significantly",I avoid thinking about marriage,No,honestly everything is too expensive now. even if you have a good job you cannot afford all these marriage demands.,the housing prices are double now and no one can save for it. it's very hard for young people.
2026-04-06 02:26:53.694,2–3 years,It's difficult but possible,Gold (Shabka),"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Reduce or eliminate the Shabka",Probably yes,Somewhat,A little anxious,No,the gold prices are the biggest problem now. no one can afford to buy 50 grams for shabka anymore.,for a decent marriage we need at least 1 million now. it is very hard for fresh graduates.
2026-04-06 02:29:09.073,2–3 years,It's difficult but possible,Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Reduce or eliminate the Shabka",Probably yes,Somewhat,A little anxious,No,the housing costs are too high. you need millions to buy a small apartment in a good area.,most people now delay marriage because they cannot afford the basic stuff like furnmost people now delay marriage because they cannot afford the basic stuff like furniture and kitchen tools.iture and kitchen tools.
2026-04-06 02:31:19.498,2–3 years,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),Delay the wedding,Definitely yes,"Yes, significantly",Very anxious,"Yes, me personally",honestly we need to stop buying so many kitchen things and towels it's just wasting money. like why we need 100 sets of everything.,the apartment prices are so expensive and no one can save for it. it's very hard for young people.
2026-04-06 02:33:22.650,Within 1 year,"Yes, it's manageable",Wedding expenses,"No, gold is a non-negotiable tradition",100+ grams regardless of price,Ask family for help,Not really,"No, not at all",Not at all,No,honestly if someone can afford it then it is fine to have a nice wedding. people should not judge others for their choice.,maybe 2 million is more realistic now if you want a high standard life in egypt.
2026-04-06 02:35:38.985,I have no plans yet,I’ve never thought about it,Apartment cost,"Yes, completely fine with it",Skip it entirely (0 grams),"Delay the wedding, Work or move abroad",Probably yes,Somewhat,I avoid thinking about marriage,No,honestly why people still buy china sets and 100 towels? it's just to show off to neighbors and it is useless.,for a simple apartment and basic furniture we need a lot of money that no one has.
2026-04-06 02:37:53.051,More than 3 years,"No, it's completely unrealistic",Furniture and setup costs,The Shabka should be eliminated entirely,Skip it entirely (0 grams),Work or move abroad,Definitely yes,"Yes, significantly",I avoid thinking about marriage,No,splitting everything 50-50 between man and woman is better now since everything is very expensive.,the housing prices are double now and no one can save for it. it's very hard for young people.
2026-04-06 02:39:52.872,I have no plans yet,It's difficult but possible,Apartment cost,"No, gold is a non-negotiable tradition",1–20 grams,Work or move abroad,Definitely yes,"Not yet, but I expect it will",A little anxious,No,,
2026-04-06 02:40:08.449,2–3 years,It's difficult but possible,Gold (Shabka),"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Reduce or eliminate the Shabka",Probably yes,Somewhat,A little anxious,No,honestly most people demand way too much mahr for their daughters. like she is a person not a car to sell for millions.,the rental prices are crazy and no one can save enough for a flat anymore.
2026-04-06 02:41:51.949,More than 3 years,It's difficult but possible,Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Work or move abroad",Probably yes,Somewhat,A little anxious,No,splitting everything 50-50 between man and woman is better now since everything is very expensive.,the rental prices are crazy and no one can save enough for a flat anymore.
2026-04-06 03:54:24.187,More than 3 years,It's difficult but possible,Furniture and setup costs,"No, gold is a non-negotiable tradition",100+ grams regardless of price,Ask family for help,Definitely yes,"Yes, significantly",Very anxious,I’ve heard cases,,
2026-04-06 04:09:03.523,More than 3 years,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Reduce or eliminate the Shabka",Definitely yes,"Not yet, but I expect it will",Very anxious,I’ve heard cases,Marrying these days feels like youre buying the woman more than youre going to marry her,3 million geneh minimum
2026-04-06 06:39:44.540,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,"Ask family for help, Work or move abroad",Definitely yes,"Not yet, but I expect it will",A little anxious,No,,
2026-04-06 06:47:57.205,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Work or move abroad",Definitely yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,Big weddings / spending lots of money on the celebrations and also trying to set up the whole apartment at once / before the wedding rather than getting the necessities and building their own home as they go ,2 million 
2026-04-06 06:49:54.854,I have no plans yet,I’ve never thought about it,Apartment cost,"Yes, completely fine with it",Skip it entirely (0 grams),Delay the wedding,Definitely yes,"No, not at all",Not at all,No,"Well I was thinking of something entirely different. Celibacy, aka the voluntary action of NOT getting married. Let me explain usually marriages (most of the time) end up in divorce and during said marriage BOTH the wife AND the husband are miserable. In my opinion its better to live alone and hang out with your friends enjoying life at your own standards rather than bearing a responsibility that you never asked for because society expects you to do so. And another reason I wanna point out is that egypt is already over populated since most fathers are uneducated about biology blaming mothers for giving birth to daughters (usually whenever I see a family its always like 3-1+ ratio of girls to boys) they always stop when the son is born. ",
2026-04-06 07:22:08.356,2–3 years,"No, it's completely unrealistic",Furniture and setup costs,"No, gold is a non-negotiable tradition",100+ grams regardless of price,Work or move abroad,Probably yes,"Not yet, but I expect it will",A little anxious,No,,0.25m$
2026-04-06 07:27:24.794,I have no plans yet,It's difficult but possible,Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,Work or move abroad,Definitely yes,"No, not at all",Not at all,No,"The man should be getting everything in the first place, apartment, shabka, furniture and appliances etc... A women isn’t required to get anything for marriage in Islam, unless she wants to. It was something done by Egyptians before that became a tradition for some reason ",Idk but its based on his income but an average of 3 million probably 
2026-04-06 07:36:03.763,More than 3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Ask family for help, Work or move abroad",Definitely yes,"No, not at all",A little anxious,No,,
2026-04-06 07:44:47.974,Within 1 year,"No, it's completely unrealistic",Furniture and setup costs,"Yes, but only if both families agree",1–20 grams,Work or move abroad,Definitely yes,"Not yet, but I expect it will",A little anxious,"Yes, a close friend or relative",,
2026-04-06 07:49:04.965,I have no plans yet,It's difficult but possible,Furniture and setup costs,"No, gold is a non-negotiable tradition",1–20 grams,Work or move abroad,Definitely yes,"Not yet, but I expect it will",A little anxious,No,,
2026-04-06 08:01:43.262,More than 3 years,It's difficult but possible,Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,Ask family for help,Not really,"No, not at all",Not at all,No,"Egyptians must return to proper marriage and its correct traditions as prescribed by Islam. Islam does not mention the existence of a list or any document stating what the bride or groom should bring. However, the husband must provide everything, including bedding, carpets, furniture, curtains, and electrical appliances, so that there is no list of expenses. If this does not happen, then there must be a list, of course. ",At least one million EGP pounds 
2026-04-06 08:06:49.011,2–3 years,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,1–20 grams,"Delay the wedding, Work or move abroad",Definitely yes,"Not yet, but I expect it will",Very anxious,"Yes, a close friend or relative",El fara7 momken yeb2a katb ketab,2 million pounds
2026-04-06 08:16:57.776,More than 3 years,"Yes, it's manageable",Gold (Shabka),"No, gold is a non-negotiable tradition",20–50 grams,Take a bank loan,"No, people always find a way",Somewhat,A little anxious,"Yes, a close friend or relative",,
2026-04-06 08:27:16.056,I have no plans yet,I’ve never thought about it,Apartment cost,"Yes, but only if both families agree",20–50 grams,Work or move abroad,Probably yes,"No, not at all",A little anxious,No,Not sure actually. Ive never thought of it.,"Not sure either. But, i believe it should be ALOT. Especially if an apartment hasnt been secured, also including the shabka and possible wedding expenses. One must plan very well ahead before taking such a big step or else he may fail and regret it later."
2026-04-06 09:29:21.100,I have no plans yet,"No, it's completely unrealistic",Furniture and setup costs,"Yes, but only if both families agree",20–50 grams,"Ask family for help, Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Not yet, but I expect it will",I avoid thinking about marriage,I’ve heard cases,Farah celebration ,5m at least
2026-04-06 09:36:27.832,2–3 years,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,Delay the wedding,Probably yes,"Yes, significantly",A little anxious,I’ve heard cases,,
2026-04-06 10:02:40.903,I have no plans yet,It's difficult but possible,Furniture and setup costs,"No, gold is a non-negotiable tradition",20–50 grams,"Delay the wedding, Ask family for help, Work or move abroad",Probably yes,"No, not at all",Not at all,No,Having to have a really huge and expensive wedding is not really necessary; something simple would be good as well and some people only do a katb ketab to save money.," Depends on the couple. If they come from a middle be class, they need to save at-least 350,000 for furniture, shabka, and a wedding (given that they already have an apartment). "
2026-04-06 10:05:21.847,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",1–20 grams,"Ask family for help, Work or move abroad",Definitely yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,,
2026-04-06 10:32:45.495,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",100+ grams regardless of price,"Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"No, not at all",A little anxious,I’ve heard cases,,2 millions in addition to the apartment 
2026-04-06 10:52:17.248,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",1–20 grams,Work or move abroad,Probably yes,"Yes, significantly",Very anxious,"Yes, me personally",Wedding cost,2000000
2026-04-06 12:12:03.365,2–3 years,It's difficult but possible,Gold (Shabka),"Yes, but only if both families agree",20–50 grams,"Delay the wedding, Ask family for help, Work or move abroad",Definitely yes,Somewhat,I avoid thinking about marriage,I’ve heard cases,,7 million pounds
2026-04-06 12:12:18.898,2–3 years,"No, it's completely unrealistic",Gold (Shabka),"Yes, completely fine with it",1–20 grams,"Delay the wedding, Reduce or eliminate the Shabka",Definitely yes,"Not yet, but I expect it will",Very anxious,"Yes, a close friend or relative",overspending on wedding ceremonies when the money can be repurposed for needed life expenses,enough to pay rent and eat well while also saving money for more leisurely activities 
2026-04-06 12:41:58.759,More than 3 years,It's difficult but possible,Wedding expenses,"Yes, but only if both families agree",20–50 grams,Work or move abroad,Definitely yes,"Not yet, but I expect it will",I avoid thinking about marriage,No,,One million pounds
2026-04-06 12:51:07.324,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Work or move abroad",Definitely yes,"Not yet, but I expect it will",Very anxious,I’ve heard cases,,
2026-04-06 12:53:00.994,2–3 years,"No, it's completely unrealistic",Gold (Shabka),The Shabka should be eliminated entirely,1–20 grams,"Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Yes, significantly",Very anxious,I’ve heard cases,"Both need to help each other, but the man needs to be financially responsible",At least they need to save an apartment 
2026-04-06 13:01:32.790,More than 3 years,"No, it's completely unrealistic",Gold (Shabka),"No, gold is a non-negotiable tradition",20–50 grams,"Ask family for help, Work or move abroad",Definitely yes,"Not yet, but I expect it will",Very anxious,I’ve heard cases,Wedding ,الله اعلم
2026-04-06 13:20:16.428,2–3 years,"No, it's completely unrealistic",Furniture and setup costs,"Yes, completely fine with it",1–20 grams,"Delay the wedding, Ask family for help, Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Not yet, but I expect it will",A little anxious,"Yes, a close friend or relative",كل حاجة و الله + لو يلغوا القايمة الدنيا هتتحل ,"Egyptian male: not kess 5han 400k. Egyptian Female: notnless than 200k EGP. This is not my opinion, this is the reality."
2026-04-06 13:25:49.486,2–3 years,It's difficult but possible,Wedding expenses,"No, gold is a non-negotiable tradition",1–20 grams,"Delay the wedding, Ask family for help",Probably yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,,
2026-04-06 13:26:55.113,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"Yes, completely fine with it",20–50 grams,"Delay the wedding, Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"No, not at all",I avoid thinking about marriage,I’ve heard cases,"Everything, just living paycheck to paycheck is hard, now imagine marriage expenses",Atleast enough to afford a home (either rent or buying one is fine) + have an average marriage is the bare minimum 
2026-04-06 13:27:24.206,More than 3 years,"No, it's completely unrealistic",Furniture and setup costs,"No, gold is a non-negotiable tradition",20–50 grams,"Reduce or eliminate the Shabka, Work or move abroad",Probably yes,Somewhat,Very anxious,I’ve heard cases,,
2026-04-06 13:32:36.673,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",1–20 grams,Delay the wedding,Definitely yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,,
2026-04-06 13:36:06.751,2–3 years,"No, it's completely unrealistic",Gold (Shabka),"Yes, but only if both families agree",20–50 grams,"Ask family for help, Work or move abroad",Probably yes,"Yes, significantly",A little anxious,No,,4 - 5 Million EGP
2026-04-06 13:39:08.080,I have no plans yet,"No, it's completely unrealistic",Gold (Shabka),"Yes, but only if both families agree",20–50 grams,"Ask family for help, Work or move abroad","No, people always find a way","No, not at all",Not at all,No,Ludicrously expensive weddings/katb ketab/ Farah for supbar services,Double or at least 1.5 times the costs of the wedding/katb ketab/ farah and housing
2026-04-06 13:41:01.980,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,"Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Not yet, but I expect it will",Very anxious,No,,2 milion
2026-04-06 13:47:19.348,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, completely fine with it",20–50 grams,"Delay the wedding, Ask family for help, Reduce or eliminate the Shabka, Work or move abroad","No, people always find a way","Not yet, but I expect it will",Very anxious,I’ve heard cases,,
2026-04-06 13:50:48.788,2–3 years,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,Work or move abroad,Definitely yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,Qayma,500-750k excluding apartment cost
2026-04-06 15:43:52.773,More than 3 years,"No, it's completely unrealistic",Furniture and setup costs,"No, gold is a non-negotiable tradition",20–50 grams,Work or move abroad,Probably yes,"Not yet, but I expect it will",A little anxious,No,,
2026-04-06 15:53:08.903,I have no plans yet,I’ve never thought about it,Wedding expenses,"No, gold is a non-negotiable tradition",100+ grams regardless of price,"Take a bank loan, Work or move abroad","No, people always find a way","Not yet, but I expect it will",I avoid thinking about marriage,I’ve heard cases,Full house cost and it’s furniture supposed to be all on husband. No 50/50 or 70/30,Over millions 
